block	arm	status	window_d	kind	rep	ms
2	B	COMPLETED	1	list	5	0.403
2	B	COMPLETED	1	count	5	0.662
2	B	COMPLETED	7	list	1	4.17
2	B	COMPLETED	7	count	1	4.53
2	B	COMPLETED	7	list	2	4.22
2	B	COMPLETED	7	count	2	4.51
2	B	COMPLETED	7	list	3	4.16
2	B	COMPLETED	7	count	3	4.51
2	B	COMPLETED	7	list	4	4.19
2	B	COMPLETED	7	count	4	4.47
2	B	COMPLETED	7	list	5	4.2
2	B	COMPLETED	7	count	5	4.53
2	B	COMPLETED	30	list	1	5.07
2	B	COMPLETED	30	count	1	19.4
2	B	COMPLETED	30	list	2	5.06
2	B	COMPLETED	30	count	2	19.2
2	B	COMPLETED	30	list	3	5.05
2	B	COMPLETED	30	count	3	19.4
2	B	COMPLETED	30	list	4	5.02
2	B	COMPLETED	30	count	4	19.3
2	B	COMPLETED	30	list	5	5.23
2	B	COMPLETED	30	count	5	19.3
2	B	COMPLETED	0	list	1	4.31
2	B	COMPLETED	0	count	1	190
2	B	COMPLETED	0	list	2	4.37
2	B	COMPLETED	0	count	2	188
2	B	COMPLETED	0	list	3	4.35
2	B	COMPLETED	0	count	3	191
2	B	COMPLETED	0	list	4	4.33
2	B	COMPLETED	0	count	4	192
2	B	COMPLETED	0	list	5	4.38
2	B	COMPLETED	0	count	5	189
2	A1	FAILED	1	list	1	1.36
2	A1	FAILED	1	count	1	3.81
2	A1	FAILED	1	list	2	1.36
2	A1	FAILED	1	count	2	3.91
2	A1	FAILED	1	list	3	1.35
2	A1	FAILED	1	count	3	3.82
2	A1	FAILED	1	list	4	1.35
2	A1	FAILED	1	count	4	3.82
2	A1	FAILED	1	list	5	1.37
2	A1	FAILED	1	count	5	3.86
2	A1	FAILED	7	list	1	4.76
2	A1	FAILED	7	count	1	25.2
2	A1	FAILED	7	list	2	4.72
2	A1	FAILED	7	count	2	24.8
2	A1	FAILED	7	list	3	4.76
2	A1	FAILED	7	count	3	25.2
2	A1	FAILED	7	list	4	4.71
2	A1	FAILED	7	count	4	24.8
